epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.762,1.51826,2.52771,1.60513,0.57456,0.21231,0.22544,0.11222,2.05417,2.80187,2.16636,0.00041557,0.00041557,0.00041557
2,552.692,1.64977,2.36685,1.71894,0.32746,0.25786,0.23547,0.1203,1.87561,2.96904,2.09133,0.000815759,0.000815759,0.000815759
3,716.277,1.61329,2.30063,1.70595,0.40795,0.29794,0.29515,0.17049,1.70229,2.3654,1.86171,0.00119945,0.00119945,0.00119945
4,912.952,1.53562,2.11276,1.62949,0.51636,0.44016,0.42254,0.23364,1.61274,1.96257,1.77835,0.00117575,0.00117575,0.00117575
5,1073.38,1.45105,1.94704,1.56388,0.57438,0.46688,0.4832,0.29034,1.49635,1.78886,1.70185,0.001151,0.001151,0.001151
6,1288.08,1.38763,1.82894,1.52486,0.61891,0.44736,0.50107,0.30295,1.47863,1.7247,1.66088,0.00112625,0.00112625,0.00112625
7,1499.18,1.33098,1.68844,1.48392,0.66778,0.53463,0.60028,0.37885,1.36367,1.61387,1.60694,0.0011015,0.0011015,0.0011015
8,1714.71,1.28614,1.57737,1.43761,0.60053,0.53663,0.58259,0.36773,1.36086,1.5573,1.55991,0.00107675,0.00107675,0.00107675
9,1902.29,1.23612,1.49214,1.39607,0.71817,0.60559,0.68974,0.45763,1.283,1.32311,1.48978,0.001052,0.001052,0.001052
10,2073.18,1.21057,1.43208,1.38328,0.73106,0.59964,0.70406,0.47701,1.2359,1.2741,1.43617,0.00102725,0.00102725,0.00102725
11,2288.12,1.18794,1.38127,1.37073,0.75297,0.62209,0.7256,0.48811,1.24461,1.24215,1.47204,0.0010025,0.0010025,0.0010025
12,2458.04,1.14717,1.2995,1.33884,0.69411,0.61021,0.67692,0.47132,1.16759,1.2135,1.38396,0.00097775,0.00097775,0.00097775
13,2627.32,1.11734,1.24736,1.31323,0.76639,0.7208,0.79456,0.56531,1.14261,1.10418,1.37754,0.000953,0.000953,0.000953
14,2827.41,1.09456,1.20163,1.29958,0.79522,0.67917,0.75379,0.52536,1.16447,1.14722,1.38531,0.00092825,0.00092825,0.00092825
15,3039.09,1.07697,1.15872,1.28327,0.82564,0.71201,0.82212,0.59278,1.08442,1.03581,1.33318,0.0009035,0.0009035,0.0009035
16,3208.67,1.05529,1.10914,1.26732,0.82706,0.73008,0.81571,0.5798,1.11267,1.05124,1.34484,0.00087875,0.00087875,0.00087875
17,3381.51,1.03162,1.07129,1.25764,0.78206,0.78509,0.84913,0.60741,1.06721,0.93357,1.30868,0.000854,0.000854,0.000854
18,3562.19,1.0075,1.03564,1.24185,0.80547,0.72521,0.81911,0.5977,1.06772,0.98197,1.29878,0.00082925,0.00082925,0.00082925
19,3731.24,0.98155,0.9985,1.21621,0.8329,0.78828,0.87091,0.65436,1.00576,0.88872,1.2511,0.0008045,0.0008045,0.0008045
20,3901.09,0.96799,0.9739,1.20682,0.83552,0.7998,0.88216,0.66471,1.03378,0.86714,1.27048,0.00077975,0.00077975,0.00077975
21,4079.13,0.94987,0.93341,1.19564,0.88868,0.82217,0.89943,0.6752,1.02223,0.80359,1.26291,0.000755,0.000755,0.000755
22,4253.21,0.93487,0.91178,1.17909,0.85537,0.79602,0.88778,0.67754,0.98275,0.82782,1.23782,0.00073025,0.00073025,0.00073025
23,4419.56,0.92531,0.89213,1.17497,0.84817,0.82059,0.8868,0.67891,0.99775,0.7957,1.24918,0.0007055,0.0007055,0.0007055
24,4607.92,0.89717,0.86331,1.1569,0.83276,0.83917,0.88318,0.67959,0.96558,0.78752,1.21692,0.00068075,0.00068075,0.00068075
25,4777.05,0.89384,0.84651,1.15348,0.89277,0.84738,0.91536,0.70682,0.94245,0.72782,1.20062,0.000656,0.000656,0.000656
26,4946.94,0.87513,0.80359,1.13748,0.91588,0.8456,0.92017,0.72863,0.91626,0.71627,1.17224,0.00063125,0.00063125,0.00063125
27,5116.32,0.8597,0.78677,1.1313,0.87487,0.85644,0.91714,0.71913,0.94021,0.76826,1.19758,0.0006065,0.0006065,0.0006065
28,5286.04,0.83763,0.76442,1.1174,0.93171,0.86018,0.92767,0.73456,0.89588,0.68142,1.15939,0.00058175,0.00058175,0.00058175
29,5469.31,0.8334,0.74224,1.11347,0.91312,0.84815,0.9236,0.74388,0.88402,0.66609,1.16169,0.000557,0.000557,0.000557
30,5685.72,0.81779,0.7305,1.10366,0.89157,0.90176,0.92738,0.74386,0.89731,0.67649,1.16659,0.00053225,0.00053225,0.00053225
31,5900.98,0.80598,0.71889,1.09435,0.92023,0.87408,0.92946,0.75846,0.87389,0.636,1.16869,0.0005075,0.0005075,0.0005075
